"id" "id_2" "W2mean" "Sl2mean" "NDVI2mean" "x" "y" "site" "PredReg"
"42" 1132 1 346245.45700909 56.2430386213742 0.391152101971329 23261.565686 197900.704558 "a" 6.71089530254183e-06
"43" 1133 1 341665.00539058 58.4897380226123 0.380416186544507 23262.065686 197900.704558 "a" 7.31854200548552e-06
"44" 1134 1 337382.986527042 62.1392908493135 0.363238502676936 23262.565686 197900.704558 "a" 9.64353821019291e-06
"45" 1226 1 339946.016528685 53.8293668051709 0.274971976326338 23308.565686 197900.704558 "a" 0.000120291317567848
"46" 1227 1 343681.247009892 52.1506213306523 0.236742129931731 23309.065686 197900.704558 "a" 0.000403797856908859
"47" 1228 1 348199.205249853 50.5883798536354 0.206006337363833 23309.565686 197900.704558 "a" 0.00114393141249757
"48" 1229 1 352004.388569905 49.0035029744288 0.178249321381495 23310.065686 197900.704558 "a" 0.00289042498236777
"49" 1230 1 354703.991446787 47.6309651788676 0.152038816047684 23310.565686 197900.704558 "a" 0.00664810908149341
"50" 1231 1 364249.606320886 42.9732636935923 0.135376501917466 23311.065686 197900.704558 "a" 0.0159485961774702
"51" 1232 1 376179.69039209 37.9150239268036 0.125993717820419 23311.565686 197900.704558 "a" 0.034585766049401
"52" 1233 1 384139.65127949 35.5412210673018 0.120029528977537 23312.065686 197900.704558 "a" 0.0568953202160864
"53" 1234 1 390614.13286548 33.2985069454494 0.118081196439657 23312.565686 197900.704558 "a" 0.0784733325918422
"54" 1235 1 400032.247938075 29.4091882847528 0.124268252164751 23313.065686 197900.704558 "a" 0.0990336329214959
"55" 1236 1 404484.290621516 26.9054750968248 0.127236359686611 23313.565686 197900.704558 "a" 0.110216954435891
"56" 1237 1 406488.052414117 24.5698045803273 0.128363685699597 23314.065686 197900.704558 "a" 0.116185329480855
"57" 1238 1 408460.60561899 23.4004527227237 0.13239359081762 23314.565686 197900.704558 "a" 0.114032564761375
"58" 1239 1 410470.495752805 22.7379310529428 0.137086057925627 23315.065686 197900.704558 "a" 0.110295318691811
"59" 1240 1 412562.983464216 22.1520614447989 0.140032317104561 23315.565686 197900.704558 "a" 0.11165999936597
"60" 1241 1 414504.545416103 22.5114084920961 0.14480561353186 23316.065686 197900.704558 "a" 0.107483268379332
"61" 1242 1 417292.348352713 22.5452398323862 0.14536799794905 23316.565686 197900.704558 "a" 0.118519433077242
"62" 1243 1 419415.011042889 21.9535695083243 0.143438907601379 23317.065686 197900.704558 "a" 0.134899870952207
"63" 1244 1 421774.679126908 20.9592769119121 0.14546041405891 23317.565686 197900.704558 "a" 0.140974672063247
"64" 1330 1 420589.047759891 18.8101457303536 0.178217597237401 23254.065686 197900.204558 "a" 0.0598399530563816
"65" 1331 1 412686.918251032 22.9745652116092 0.203068934958907 23254.565686 197900.204558 "a" 0.0221340629910113
