"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"bi_CA"	"weight_day"
"95"	"Parameters bimodal 1082 28_11_2019 09_50.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"False"	7.52002251971591
"96"	"Parameters bimodal 1083 28_11_2019 09_50.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	9.44948458492624
"97"	"Parameters bimodal 1084 28_11_2019 09_51.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"False"	10.3677903219588
"98"	"Parameters bimodal 1085 28_11_2019 09_52.txt"	"bimodal"	"True"	"False"	"True"	"response_par"	"False"	8.28692171960108
"99"	"Parameters bimodal 1086 28_11_2019 09_52.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"True"	3.10956453974415
"100"	"Parameters bimodal 1087 28_11_2019 09_53.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"False"	7.64329445045845
"101"	"Parameters bimodal 1088 28_11_2019 09_53.txt"	"bimodal"	"False"	"True"	"False"	"response_par"	"True"	8.96635818558863
"102"	"Parameters bimodal 1089 28_11_2019 09_53.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"False"	5.84726020743407
"103"	"Parameters bimodal 109 28_11_2019 09_55.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"True"	8.9885300346485
"104"	"Parameters bimodal 1090 28_11_2019 09_53.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"False"	11.3639779264708
"105"	"Parameters bimodal 1091 28_11_2019 09_54.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"True"	10.457669010568
"106"	"Parameters bimodal 1092 28_11_2019 09_54.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	11.705617461875
"107"	"Parameters bimodal 1093 28_11_2019 09_54.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"True"	11.0970540627269
"108"	"Parameters bimodal 1094 28_11_2019 09_55.txt"	"bimodal"	"False"	"True"	"True"	"response_type2"	"False"	12.8387025108702
"109"	"Parameters bimodal 1095 28_11_2019 09_55.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	11.891915222185
