"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"choosers_on_followers"	"weight_day"
"61"	"Parameters CF 1051 21_04_2020 21_31.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.587014303078224	9.97716416054967
"62"	"Parameters CF 1052 21_04_2020 21_31.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.49487940709042	11.0529292706855
"63"	"Parameters CF 1053 21_04_2020 21_31.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.4771218812066	13.2321770064184
"64"	"Parameters CF 1054 21_04_2020 21_32.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.815940775750323	10.5550903575223
"65"	"Parameters CF 1055 21_04_2020 21_32.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.316933326349173	10.6201101008109
"66"	"Parameters CF 1056 21_04_2020 21_32.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.578039077806083	14.7506022242618
"67"	"Parameters CF 1057 21_04_2020 21_32.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.615014876453769	10.0503049769026
"68"	"Parameters CF 1058 21_04_2020 21_33.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.635347983726637	10.4809564156852
"69"	"Parameters CF 1059 21_04_2020 21_33.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.593356999158184	11.0590172413745
"70"	"Parameters CF 106 21_04_2020 21_50.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.556725119081782	7.93894616595935
"71"	"Parameters CF 1060 21_04_2020 21_33.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.78616908661979	6.53874576614289
"72"	"Parameters CF 1061 21_04_2020 21_33.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.400493374450301	16.4495532290674
"73"	"Parameters CF 1062 21_04_2020 21_34.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.771688322709223	9.1087159497293
"74"	"Parameters CF 1063 21_04_2020 21_34.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.545493758806923	9.39352809716775
"75"	"Parameters CF 1064 21_04_2020 21_34.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.564175518264744	11.5590665175678
"76"	"Parameters CF 1065 21_04_2020 21_35.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.605033267151675	11.4040845247176
"77"	"Parameters CF 1066 21_04_2020 21_35.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.41354539438109	7.46376505394154
"78"	"Parameters CF 1067 21_04_2020 21_35.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.462445303568141	1.46183826101955
"79"	"Parameters CF 1068 21_04_2020 21_35.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.598326987945317	9.84394344814046
"80"	"Parameters CF 1069 21_04_2020 21_36.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.566505296300992	9.21027029555454
"81"	"Parameters CF 107 21_04_2020 21_51.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.655028597462663	3.40195331538844
"82"	"Parameters CF 1070 21_04_2020 21_36.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.657424254105037	11.2982866236301
"83"	"Parameters CF 1071 21_04_2020 21_36.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.56928453415837	6.77860857680605
"84"	"Parameters CF 1072 21_04_2020 21_37.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.694809326868327	11.6534572804929
"85"	"Parameters CF 1073 21_04_2020 21_37.txt"	"CF"	"True"	"False"	"False"	"response_type2"	0.575187875903866	8.35289372433142
"86"	"Parameters CF 1074 21_04_2020 21_37.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.588415542778083	8.88896110482157
"87"	"Parameters CF 1075 21_04_2020 21_37.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.551239689363131	8.29908709825734
"88"	"Parameters CF 1076 21_04_2020 21_38.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.488738628733633	13.6256188233925
"89"	"Parameters CF 1077 21_04_2020 21_38.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.80721683489526	11.0939867948292
"90"	"Parameters CF 1078 21_04_2020 21_38.txt"	"CF"	"True"	"False"	"False"	"response_par"	0.757619483162361	10.0311681888142
